Internal - All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Title 2,Title 2 Length,Title 2 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1",Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,URL Encoded Address
https://www.virginholidays.co.uk/destinations/usa/arizona/grand-canyon/maswik-lodge-south-holidays,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,1,1,0.04,0,0,0,0,,0.236,,,,https://www.virginholidays.co.uk/destinations/usa/arizona/grand-canyon/maswik-lodge-south-holidays
"https://www.virginholidays.co.uk/holiday/banff/brewsters-mountain-lodge/options?departureDate=27-03-2019&duration=10&gateway=MAN&room=a2,i0&searchType=deal",,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,3,,3,1,0.04,0,0,0,0,,,,,,"https://www.virginholidays.co.uk/holiday/banff/brewsters-mountain-lodge/options?departureDate=27-03-2019&duration=10&gateway=MAN&room=a2,i0&searchType=deal"
https://www.virginholidays.co.uk/dam/jcr:936432e6-bff3-46a7-869d-8582d981ee88,image/jpeg;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,142109,0,0,5,,0,0,0,0,0,0,0,,0.132,"Mon, 09 Apr 2018 11:44:14 CEST",,,https://www.virginholidays.co.uk/dam/jcr:936432e6-bff3-46a7-869d-8582d981ee88
"https://www.virginholidays.co.uk/holiday/dubai-beach/nikki-beach-resort-and-spa/options?departureDate=25-05-2019&duration=10&gateway=ABZ&room=a2,i0&searchType=deal",,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,3,1,0.04,0,0,0,0,,,,,,"https://www.virginholidays.co.uk/holiday/dubai-beach/nikki-beach-resort-and-spa/options?departureDate=25-05-2019&duration=10&gateway=ABZ&room=a2,i0&searchType=deal"
"https://www.virginholidays.co.uk/holiday/dubai-city/jumeirah-emirates-towers/options?departureDate=27-03-2019&duration=4&gateway=ABZ&room=a2,i0&searchType=deal",,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,3,1,0.04,0,0,0,0,,,,,,"https://www.virginholidays.co.uk/holiday/dubai-city/jumeirah-emirates-towers/options?departureDate=27-03-2019&duration=4&gateway=ABZ&room=a2,i0&searchType=deal"
https://www.virginholidays.co.uk/destinations/florida/orlando/davenport/solana-browse,text/html; charset=utf-8,429,Too Many Requests,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,276,0,0,4,,4,2,0.08,0,0,0,0,,0.285,,,,https://www.virginholidays.co.uk/destinations/florida/orlando/davenport/solana-browse
https://www.virginholidays.co.uk/destinations/canada/montreal-hotels,text/html,200,OK,Indexable,,Montreal Hotels 2019/2020 | Hotels in Montreal | Virgin Holidays,64,512,,0,0,,0,0,,0,Hotels in Montreal,18,We found you 12 amazing hotels…,31,Marriott Chateau Champlain,26,Fairmont the Queen Elizabeth,28,,,,,,458373,3966,5.6076603,3,,6,3,0.11,82,50,26,21,8644d6b2f7736d87ff5c3cfd77ef0e62,0.38,,,,https://www.virginholidays.co.uk/destinations/canada/montreal-hotels
https://www.virginholidays.co.uk/destinations/usa/san-francisco/union-square-holidays,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,4,,8,8,0.3,0,0,0,0,,0.158,,,,https://www.virginholidays.co.uk/destinations/usa/san-francisco/union-square-holidays
https://www.virginholidays.co.uk/destinations/florida/panama-city/tidewater-beach-resort-browse,text/html,200,OK,Indexable,,"Tidewater Beach Resort | Panama City, Florida Hotel | Virgin Holidays",69,559,429 Too Many Requests,21,197,,0,0,,0,Error 429 Too Many Requests,27,Tidewater Beach Resort,22,The hotel,9,Where is it,11,,,,,,339583,1634,3.175954,4,,2,1,0.04,52,36,26,21,c26569d101f086970d94984b01b69f35,0.232,,,,https://www.virginholidays.co.uk/destinations/florida/panama-city/tidewater-beach-resort-browse
https://www.virginholidays.co.uk/destinations/usa/new-york-hotels,text/html,200,OK,Indexable,,New York Hotels 2019/2020 | Hotels in New York | Virgin Holidays,64,528,,0,0,,0,0,,0,Hotels in New York,18,We found you 105 amazing hotels…,32,Baccarat Hotel and Residences New York,38,DoubleTree by Hilton Metropolitan - New York City,49,,,,,,1501108,26642,10.983021,3,,10,5,0.19,272,145,26,21,4628d86b10977268085c255ea05514fa,0.676,,,,https://www.virginholidays.co.uk/destinations/usa/new-york-hotels
https://www.virginholidays.co.uk/destinations/middle-east/dubai-beaches-and-beyond/dubai-beach/le-royal-meridien-beach-resort-and-spa-browse,text/html,200,OK,Indexable,,"Le Royal Meridien Beach Resort & Spa | Dubai Beach, Dubai Beaches and beyond Hotel | Virgin Holidays",100,845,,0,0,,0,0,,0,Le Royal Meridien Beach Resort & Spa,36,,0,The hotel,9,Where is it,11,,,,,,374150,2094,3.6405184,3,,6,3,0.11,55,38,26,21,6dfcb6c3c14e6f2ad66d8eeafa8315cf,0.698,,,,https://www.virginholidays.co.uk/destinations/middle-east/dubai-beaches-and-beyond/dubai-beach/le-royal-meridien-beach-resort-and-spa-browse
https://www.virginholidays.co.uk/destinations/usa/chicago/intercontinental-chicago-browse,text/html; charset=utf-8,429,Too Many Requests,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,275,0,0,4,,2,1,0.04,0,0,0,0,,0.116,,,,https://www.virginholidays.co.uk/destinations/usa/chicago/intercontinental-chicago-browse
http://www.virginholidays.co.uk/destinations/asia-and-far-east/india/goa/park-hyatt-goa-browse,,307,HSTS Policy,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,3,,1,1,0.04,0,0,0,0,,,,https://www.virginholidays.co.uk/destinations/asia-and-far-east/india/goa/park-hyatt-goa-browse,HSTS Redirect,http://www.virginholidays.co.uk/destinations/asia-and-far-east/india/goa/park-hyatt-goa-browse
"https://www.virginholidays.co.uk/holiday/barbados/coral-mist-and-blue-orchids-hotels/options?departureDate=01-09-2019&duration=14&gateway=GLA&room=a2,i0&searchType=deal",,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,3,1,0.04,0,0,0,0,,,,,,"https://www.virginholidays.co.uk/holiday/barbados/coral-mist-and-blue-orchids-hotels/options?departureDate=01-09-2019&duration=14&gateway=GLA&room=a2,i0&searchType=deal"
https://www.virginholidays.co.uk/destinations/florida/orlando/providence/rosemont-woods-at-providence-golf-and-country-club-holidays,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,1,1,0.04,0,0,0,0,,0.125,,,,https://www.virginholidays.co.uk/destinations/florida/orlando/providence/rosemont-woods-at-providence-golf-and-country-club-holidays
https://www.virginholidays.co.uk/destinations/usa/las-vegas/strip/sls-las-vegas-a-tribute-portfolio-resort-browse,text/html,200,OK,Indexable,,"SLS Las Vegas, a Tribute Portfolio Resort | Strip, Las Vegas Hotel | Virgin Holidays",84,663,,0,0,,0,0,,0,"SLS Las Vegas, a Tribute Portfolio Resort",41,,0,The hotel,9,Where is it,11,,,,,,349391,1716,3.1921167,3,,2,1,0.04,54,37,26,21,94f38ce1e6d1292cdab6232dc80fa2b0,0.706,,,,https://www.virginholidays.co.uk/destinations/usa/las-vegas/strip/sls-las-vegas-a-tribute-portfolio-resort-browse
